tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9,tile_10,tile_11,tile_12,tile_13,win,loss
47,26,17,21,47,12,42,43,34,15,45,37,43,0,1
42,42,41,17,39,21,39,15,37,11,11,21,35,1,0
47,35,22,22,23,26,12,13,17,18,39,38,41,0,1
22,24,24,25,28,31,32,33,13,13,14,16,45,0,1
41,47,31,12,29,18,45,34,19,22,18,39,18,0,1
46,15,15,16,16,47,45,11,43,32,34,27,28,0,1
41,41,43,44,44,17,14,13,13,23,23,33,35,1,0
35,38,39,39,23,25,26,27,28,16,42,42,47,0,0
45,47,39,44,43,21,36,27,13,32,39,16,33,1,0
21,28,32,35,21,23,35,12,18,37,45,14,11,0,0
12,14,15,17,41,44,34,35,22,23,23,26,29,0,0
24,24,29,31,32,36,37,38,39,13,17,47,45,0,0
